RTO Loc,RTO Code
Hapur,UP-37
Sambhal,UP-38
Bahraich,UP-40
Barabanki,UP-41
Faizabad,UP-42
Gonda,UP-43
Sultanpur,UP-44
Ambedkar Nagar,UP-45
Shrawasti,UP-46
Balrampur,UP-47
Azamgarh,UP-50
Basti,UP-51
Deoria,UP-52
Gorakhpur,UP-53
Mau,UP-54
Siddharth Nagar,UP-55
Mahrajganj,UP-56
Padrauna,UP-57
Sant Kabir Nagar,UP-58
Ballia,UP-60
Ghazipur,UP-61
Jaunpur,UP-62
Mirzapur,UP-63
Sonbhadra,UP-64
Varanasi,UP-65
Bhadohi,UP-66
Chandauli,UP-67
Allahabad,UP-70
Fatehpur,UP-71
Pratapgarh,UP-72
Kaushambi,UP-73
Kannauj,UP-74
Etawah,UP-75
Farrukhabad,UP-76
Kanpur Dehat (rural),UP-77
Kanpur,UP-78
Auraiya,UP-79
Agra,UP-80
Aligarh,UP-81
Etah,UP-82
Firozabad,UP-83
Mainpuri,UP-84
Mathura,UP-85
Mahamaya Nagar,UP-86
Kanshiram Nagar,UP-87
Banda,
Hamirpur,UP-91
Jalaun,UP-92
Jhansi,UP-93
,
Kolkata,WB-01
Kolkata,WB-02
Kolkata,WB-03
Kolkata,WB-04
Kolkata,WB-05
Kolkata,WB-06
Kolkata,WB-07
Kolkata Salt Lake,WB-08
Howrah,WB-11
Howrah,WB-12
Howrah Uluberia,WB-13
Howrah Uluberia,WB-14
Hooghly,WB-15
Hooghly,WB-16
Hooghly,WB-17
Chandannagar,WB-18
"Alipore, South 24 Parganas",WB-19
"Alipore, South 24 Parganas",WB-20
"Alipore, South 24 Parganas",WB-22
Barrackpore,WB-23
Barrackpore,WB-24
Barasat,WB-25
Barasat,WB-26
Tamluk,WB-29
Tamluk,WB-30
Contai,WB-31
Contai,WB-32
Midnapur,WB-33
Midnapur,WB-34
Asansol,WB-37
Asansol,WB-38
Durgapur,WB-39
Durgapur,WB-40
Burdwan,WB-41
Burdwan,WB-42
Kalna,WB-43
Asansol,WB-44
Asansol,WB-44A
Asansol,WB-44B
Asansol,WB-44C
Asansol,WB-44D
Kalna,WB-44E
Bolpur,WB-47
Bolpur,WB-48
Nadia,WB-51
Nadia,WB-52
Birbhum,WB-53
Birbhum,WB-54
Purulia,WB-55
Purulia,WB-56
Murshidabad,WB-57
Murshidabad,WB-58
Raiganj,WB-59
Raiganj,WB-60
Balurghat,WB-61
Balurghat,WB-62
Cooch Behar,WB-63
Cooch Behar,WB-64
Malda,WB-65
Malda,WB-66
Bankura,WB-67
Bankura,WB-68
Alipurduar,WB-69
Alipurduar,WB-70
Jalpaiguri,WB-71
Jalpaiguri,WB-72
Siliguri,WB-73
Siliguri,WB-74
Darjeeling,WB-76
Kalimpong,WB-77
Kalimpong,WB-78
Raghunathpur,WB-79
Mathabhanga,WB-82
Mathabhanga,WB-86
Kalyani,WB-89
Kalyani,WB-90
Islampur,WB-91
Islampur,WB-92
"Jangipur, (Murshidabad District)",WB-93
Jangipur (Murshidabad),WB-94
Baruipur,WB-96
Darjeeling,WB-77
,
Port Blair,AN-01
Car Nicobar,AN-02
,
Chandigarh,CH-01
Chandigarh,CH-02
Chandigarh,CH-03
Chandigarh,CH-04
,
Silvassa,DN-09
,
,
Diu,DD-02
Daman,DD-03
,
Kavaratti,LD-01
Agatti,LD-02
Amini,LD-03
Androth,LD-04
Kadmat,LD-05
Kiltan,LD-06
Kalpeni,LD-07
Kalpeni,LD-08
Minicoy,LD-09
,
"Mall Road, Delhi North",DL-01
"Tilak Marg, New Delhi",DL-02
"Sheikh Sarai, South Delhi South",DL-03
"West Janakpuri, West Delhi West",DL-04
"Loni Road, North East Delhi",DL-05
"Sarai Kale Khan, Central Delhi",DL-06
"Mayur Vihar, East Delhi",DL-07
"Wazir Pur, North West Delhi",DL-08
"Janakpuri, South West Delhi",DL-09
West Delhi,DL-10
"Rohini, North West Delhi",DL-11
"Vasant Vihar, South West Delhi",DL-12
"Surajmal Vihar, Delhi",DL-13
Sonipat,DL-14
Gurgaon,DL-15
Faridabad,DL-16
Noida,DL-17
Ghaziabad,DL-18
,
Puducherry,PY-01
Karaikal,PY-02
Mahe,PY-03
Yanam,PY-04
Oulgaret,PY-05
